#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 11:55:39,wvcp,DSJC125.1gb,local_search,4,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
542,0,8,0,113,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:2:3:4:0:0:0:1:3:1:1:1:3:0:4:4:2:0:5:5:5:5:4:3:5:5:4:4:3:4:4:4:5:5:0:5:4:4:1:5:1:1:5:2:3:5:0:1:3:5:1:2:5:0:0:5:3:3:0:4:3:3:4:7:7:2:7:7:4:3:7:7:7:2:1:3:4:7:0:7:3:5:7:1:7:7:6:5:6:0:2:2:6:4:6:6:1:6:4:0
662,0,8,0,112,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:2:3:2:0:0:3:4:2:1:1:1:3:2:1:4:0:0:5:5:3:5:4:2:3:5:4:4:3:4:2:4:5:3:0:5:4:4:1:5:0:1:5:1:3:5:0:1:0:5:1:2:4:5:3:5:3:3:1:0:3:4:5:7:4:2:7:7:4:5:7:7:7:2:1:3:4:4:0:7:5:5:7:1:1:7:7:3:4:7:3:6:7:4:4:2:7:4:6:6
889,0,7,0,111,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:1:1:2:4:2:1:2:4:4:3:0:3:4:4:0:3:4:3:3:1:1:3:0:4:4:2:0:5:5:3:5:4:2:5:5:4:0:4:5:4:4:1:5:0:5:4:4:5:2:1:1:5:1:3:1:3:1:3:5:1:2:5:0:0:5:3:1:2:4:3:4:2:7:7:2:7:7:4:3:7:7:7:5:1:0:0:2:0:7:5:5:7:0:7:7:3:5:4:2:1:2:2:4:7:2:7:7:4:4
2350,0,7,0,110,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:4:1:2:4:4:3:1:3:4:4:0:1:1:2:1:3:2:3:0:4:2:1:0:5:5:3:2:4:3:3:5:4:3:1:0:4:1:3:4:0:5:4:3:5:4:0:1:5:5:3:2:4:1:2:0:2:2:5:2:3:5:3:1:4:5:1:5:2:4:4:2:3:1:0:1:3:7:5:4:3:2:0:2:3:3:5:7:0:7:4:2:7:0:4:7:4:7:5:4:7:7:0:7:4:4
2351,0,7,0,107,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:4:1:2:4:4:3:1:3:4:4:0:1:1:2:1:3:2:3:0:4:2:1:0:5:5:3:2:4:3:3:5:4:3:1:0:4:1:3:4:0:5:4:3:5:4:0:1:5:5:3:2:4:1:2:0:2:2:5:2:3:5:3:1:4:5:1:5:2:4:4:2:3:1:0:1:3:4:5:4:3:2:0:2:3:3:5:7:0:7:4:2:7:0:4:7:4:7:5:4:7:7:0:7:4:4
3149,0,7,0,106,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:4:1:2:4:4:3:1:3:3:4:3:3:0:3:1:3:2:3:0:4:2:1:3:5:5:3:2:4:3:0:5:4:0:3:5:2:3:5:3:4:5:4:1:2:5:1:1:1:1:3:1:2:1:3:4:3:2:5:2:0:5:3:2:4:5:4:2:2:4:4:2:3:1:0:1:2:4:5:2:1:2:0:5:3:0:2:5:0:5:4:2:7:5:4:0:5:7:7:5:5:7:0:0:4:5
3347,0,7,0,105,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:3:4:0:3:1:3:1:3:2:3:0:4:1:2:3:5:5:3:5:4:3:5:5:4:0:1:5:2:3:5:4:4:5:4:1:4:5:0:1:1:1:3:2:4:1:3:4:3:2:5:0:3:5:3:3:3:4:4:3:2:4:4:2:3:1:0:1:3:4:5:5:3:2:0:3:4:0:5:5:0:5:4:2:3:0:4:2:2:7:2:7:2:1:0:7:4:7
9781,0,7,0,104,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:3:0:4:3:1:3:1:3:2:3:0:1:1:1:0:4:4:3:2:4:3:0:5:1:0:3:5:2:3:5:3:3:5:0:1:2:5:5:1:0:2:4:2:2:1:2:0:3:2:5:2:2:5:3:3:4:4:1:5:5:4:1:2:3:1:4:0:5:4:5:5:3:5:3:5:3:0:2:3:0:5:4:2:5:5:4:3:4:7:5:4:7:1:1:0:7:7
9954,0,7,0,103,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:3:4:4:4:1:3:1:3:2:3:0:1:1:0:3:4:4:3:2:4:3:0:4:1:3:3:5:2:3:5:4:3:5:0:1:2:5:4:1:0:2:3:2:2:1:0:4:3:2:5:2:2:5:3:2:2:4:1:2:5:4:1:5:3:1:1:0:3:4:5:5:3:0:3:4:0:3:5:5:0:5:4:2:5:5:3:3:2:7:7:4:7:7:1:0:2:7
9958,0,7,0,102,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:3:4:4:4:1:3:1:3:2:3:0:1:1:0:3:4:4:3:2:4:3:0:4:1:3:3:4:2:3:3:4:3:5:0:1:2:5:4:1:0:2:3:2:2:1:0:4:3:2:5:2:2:5:3:3:2:4:1:2:5:4:1:5:3:1:1:0:3:4:5:5:3:0:3:4:3:3:5:5:0:5:4:2:5:5:3:3:2:7:7:4:7:7:1:0:2:7
222030,2,7,0,101,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:4:4:3:4:1:3:1:3:2:3:4:1:1:0:3:4:4:3:2:4:3:3:4:1:0:1:4:2:1:3:4:3:4:0:1:2:4:4:1:1:2:3:5:0:1:2:0:2:2:5:5:5:5:3:2:2:5:5:3:0:4:5:5:3:1:1:0:3:3:5:4:1:0:5:4:0:3:5:5:0:5:4:2:3:3:3:0:4:7:7:7:7:1:2:5:2:0
222114,2,7,0,100,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:4:4:3:4:1:3:1:3:2:3:4:1:1:0:3:4:4:3:2:4:3:3:4:1:0:3:4:2:1:3:2:0:4:0:1:2:4:0:1:0:2:3:2:0:1:0:0:2:5:5:5:2:5:3:2:4:5:1:4:3:4:5:5:3:1:1:0:3:3:5:4:1:0:5:4:0:5:2:5:5:5:3:2:3:5:3:3:4:7:5:4:4:7:1:7:7:4
228681,2,6,0,99,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:4:4:3:4:1:3:1:3:2:2:4:1:1:1:0:4:4:3:2:4:3:3:4:1:0:0:4:2:1:3:4:3:4:0:1:2:4:4:1:3:2:3:2:0:1:3:4:2:5:5:0:5:5:3:2:2:5:1:3:5:4:1:5:5:1:5:3:5:3:5:4:1:3:0:4:3:3:3:0:5:5:4:2:5:5:0:0:2:0:5:4:5:5:1:0:2:4
379673648,2,6,0,99,0:0:0:0:0:1:1:1:0:2:1:1:2:2:0:0:0:1:2:4:2:1:2:4:4:3:1:3:4:0:3:4:1:3:1:3:2:2:4:1:4:0:3:4:4:3:2:4:3:3:4:1:0:3:4:2:1:3:4:3:4:0:1:2:4:1:1:0:2:3:2:3:1:3:4:2:5:5:2:2:5:3:2:0:0:1:3:3:4:1:5:5:1:1:3:5:3:5:4:1:3:5:4:3:5:3:0:3:5:4:2:5:4:0:5:2:0:5:4:5:1:1:5:2:0
#2022-10-12 12:55:40
